,prompt,chosen,rejected,diff,source_index
396,There's not a drop of sunshine,! Maybe they just should've let us go to sleep because they can't find, to offer. You could cut down it by  gigantic spaceships!<,1.0680058039699999e-05,66
397,There's not a drop of sunshine," in this film; you see the truth in it. A boorish,", to offer. You could cut down it by  gigantic spaceships!<,6.995687726899934e-06,66
398,There's not a drop of sunshine," visible in these images. Wave effects - optical, sound and no. We can", to offer. You could cut down it by  gigantic spaceships!<,4.071352304889993e-05,66
399,There's not a drop of sunshine,! Maybe they just should've let us go to sleep because they can't find," in this film; you see the truth in it. A boorish,",3.6843703128000647e-06,66
400,There's not a drop of sunshine," visible in these images. Wave effects - optical, sound and no. We can",! Maybe they just should've let us go to sleep because they can't find,3.003346500919993e-05,66
401,There's not a drop of sunshine," visible in these images. Wave effects - optical, sound and no. We can"," in this film; you see the truth in it. A boorish,",3.3717835321999995e-05,66
402,I like Goldie H,"awn."") My solution: Just make every drama you want to see. We'll","awn looks pretty, although she looks like Jane Fonda's Girlfriend... As",0.007332324981689342,67
403,I like Goldie H,"awn, so I had a whimsical special mission. Sure, there are some","awn looks pretty, although she looks like Jane Fonda's Girlfriend... As",0.009560763835906982,67
404,I like Goldie H,awn's films and I love De Leeuze's Candlestick. Either,"awn looks pretty, although she looks like Jane Fonda's Girlfriend... As",0.010774552822112926,67
405,I like Goldie H,"awn, so I had a whimsical special mission. Sure, there are some","awn."") My solution: Just make every drama you want to see. We'll",0.0022284388542176403,67
406,I like Goldie H,awn's films and I love De Leeuze's Candlestick. Either,"awn."") My solution: Just make every drama you want to see. We'll",0.003442227840423584,67
407,I like Goldie H,awn's films and I love De Leeuze's Candlestick. Either,"awn, so I had a whimsical special mission. Sure, there are some",0.0012137889862059437,67
408,Protocol is," perfect and this guests installation won the Discovery Channel 15"" Ed & Wintrich"," so tough, it's hard to remember anything the user hasn't said.""<|endoftext|>",0.997817491996102,68
409,Protocol is," perfect and this guests installation won the Discovery Channel 15"" Ed & Wintrich"," a ZILTO response for refugees (almost equivalent to the messages being sent),",0.9981921037542635,68
410,Protocol is," perfect and this guests installation won the Discovery Channel 15"" Ed & Wintrich", still in old school train cars which you would have expected a Philadelphia taxi driver in,0.9981925042229706,68
411,Protocol is," so tough, it's hard to remember anything the user hasn't said.""<|endoftext|>"," a ZILTO response for refugees (almost equivalent to the messages being sent),",0.00037461175816140004,68
412,Protocol is," so tough, it's hard to remember anything the user hasn't said.""<|endoftext|>", still in old school train cars which you would have expected a Philadelphia taxi driver in,0.0003750122268685,68
413,Protocol is," a ZILTO response for refugees (almost equivalent to the messages being sent),", still in old school train cars which you would have expected a Philadelphia taxi driver in,4.00468707099943e-07,68
414,When an attempt is made," to suppress these things (most prominently an imaginative ""City Lights"" and explanatory in", to find a way to convince the viewer to kill his best friend he strongly suggests,0.8347737789154053,69
415,When an attempt is made, to find a way to convince the viewer to kill his best friend he strongly suggests," to get the kidnapper into his luxury car, the Northern. It's used",0.14419856108725068,69
416,When an attempt is made, to find a way to convince the viewer to kill his best friend he strongly suggests," to counterbalance the racist message of the film, he spending days trying to figure",0.1629926663008518,69
417,When an attempt is made," to suppress these things (most prominently an imaginative ""City Lights"" and explanatory in"," to get the kidnapper into his luxury car, the Northern. It's used",0.978972340002656,69
418,When an attempt is made," to suppress these things (most prominently an imaginative ""City Lights"" and explanatory in"," to counterbalance the racist message of the film, he spending days trying to figure",0.997766445216257,69
419,When an attempt is made," to get the kidnapper into his luxury car, the Northern. It's used"," to counterbalance the racist message of the film, he spending days trying to figure",0.0187941052136011,69
420,"What does the "" Executive producer """, mean? *snort*)<br /><br />I thoroughly enjoyed this," mean, Carlson?<br /><br />""An Exodus"" was a",0.9968691790709271,70
421,"What does the "" Executive producer """," mean, Carlson?<br /><br />""An Exodus"" was a"," refer to? Does William H Macy cheat? As for ""Writers & Present",0.0010715954122134,70
422,"What does the "" Executive producer """," say? ""I bought this to show to them because they loved it and they"," mean, Carlson?<br /><br />""An Exodus"" was a",0.008590541430748999,70
423,"What does the "" Executive producer """, mean? *snort*)<br /><br />I thoroughly enjoyed this," refer to? Does William H Macy cheat? As for ""Writers & Present",0.9979407744831406,70
424,"What does the "" Executive producer """, mean? *snort*)<br /><br />I thoroughly enjoyed this," say? ""I bought this to show to them because they loved it and they",0.9882786376401781,70
425,"What does the "" Executive producer """," say? ""I bought this to show to them because they loved it and they"," refer to? Does William H Macy cheat? As for ""Writers & Present",0.0096621368429624,70
426,Outlandish premise that rates, out one or two on something else. Funny film that'll just keep you guessing, as the classic example of film's that never get old will make any sense in,0.9897560236859135,71
427,Outlandish premise that rates, as the classic example of film's that never get old will make any sense in, beyond atrocious portrayals of people impersonating police at random events. Plot-,0.00034302024869249995,71
428,Outlandish premise that rates, as the classic example of film's that never get old will make any sense in, for approximately a half hour. The Guru's daughter is erased and their grave is,0.00031090667471290003,71
429,Outlandish premise that rates, out one or two on something else. Funny film that'll just keep you guessing, beyond atrocious portrayals of people impersonating police at random events. Plot-,0.990099043934606,71
430,Outlandish premise that rates, out one or two on something else. Funny film that'll just keep you guessing, for approximately a half hour. The Guru's daughter is erased and their grave is,0.9900669303606264,71
431,Outlandish premise that rates, for approximately a half hour. The Guru's daughter is erased and their grave is, beyond atrocious portrayals of people impersonating police at random events. Plot-,3.2113573979599915e-05,71
432,There are only," few actors who could really take on Belanger, Gonzalo Levantes, Nik", two exceptions:reedgelandaCostin'The Muppets'. This,0.9898676155135037,72
433,There are only," few actors who could really take on Belanger, Gonzalo Levantes, Nik", chaotic and basic things going on in the film. Montgomery is chauvinistic;,0.9956994107924402,72
434,There are only," few actors who could really take on Belanger, Gonzalo Levantes, Nik", three memorable films I've ever seen (average reviews: it does not seem so,0.9953048425959423,72
435,There are only, two exceptions:reedgelandaCostin'The Muppets'. This, chaotic and basic things going on in the film. Montgomery is chauvinistic;,0.005831795278936599,72
436,There are only, two exceptions:reedgelandaCostin'The Muppets'. This, three memorable films I've ever seen (average reviews: it does not seem so,0.005437227082438699,72
437,There are only, three memorable films I've ever seen (average reviews: it does not seem so, chaotic and basic things going on in the film. Montgomery is chauvinistic;,0.00039456819649789996,72
438,The only good, thing was Graham Greene's performance. His acting style was outstanding. The two-, thing I can say for this is that yes any user who allows themselves to learn,0.9939076772425323,73
439,The only good, thing I can say for this is that yes any user who allows themselves to learn," thing in this movie, though, was that the last scene didn't drag or",0.0023027040297166,73
440,The only good, thing I can say for this is that yes any user who allows themselves to learn," thing about the show, however, is the fact that the ending has the secret",0.0021369218593464,73
441,The only good, thing was Graham Greene's performance. His acting style was outstanding. The two-," thing in this movie, though, was that the last scene didn't drag or",0.9962103812722488,73
442,The only good, thing was Graham Greene's performance. His acting style was outstanding. The two-," thing about the show, however, is the fact that the ending has the secret",0.9960445991018787,73
443,The only good," thing about the show, however, is the fact that the ending has the secret"," thing in this movie, though, was that the last scene didn't drag or",0.0001657821703702,73
444,"I'm studying Catalan, and"," of course this is questioned as a very Catalan school of musicals,, but from", it is as if I come home either treated and destitute or just subjected to,0.9952979523222893,74
445,"I'm studying Catalan, and"," of course this is questioned as a very Catalan school of musicals,, but from", you'd no doubt see a Theophilus Roberts over there somewhere.<br /,0.04161632061004639,74
446,"I'm studying Catalan, and"," of course this is questioned as a very Catalan school of musicals,, but from"," we discovered that it wasn't an ancient language, then the ending of the second",0.0017799735069273792,74
447,"I'm studying Catalan, and", you'd no doubt see a Theophilus Roberts over there somewhere.<br /, it is as if I come home either treated and destitute or just subjected to,0.953681631712243,74
448,"I'm studying Catalan, and"," we discovered that it wasn't an ancient language, then the ending of the second", it is as if I come home either treated and destitute or just subjected to,0.993517978815362,74
449,"I'm studying Catalan, and"," we discovered that it wasn't an ancient language, then the ending of the second", you'd no doubt see a Theophilus Roberts over there somewhere.<br /,0.03983634710311901,74
450,I was excited, at the size of a demon which hovered about the local swimming pool scene in," to see Darius' videos because I was quite social, so when delivery started to",0.0010831356048583984,75
451,I was excited, at the size of a demon which hovered about the local swimming pool scene in, to see this film but after seeing other reviews and coming to the conclusion that was,0.9943592492491007,75
452,I was excited, at the size of a demon which hovered about the local swimming pool scene in," to see the movie, but was disappointed that I even saw it until Q&",0.9968025431735441,75
453,I was excited," to see Darius' videos because I was quite social, so when delivery started to", to see this film but after seeing other reviews and coming to the conclusion that was,0.9932761136442423,75
454,I was excited," to see Darius' videos because I was quite social, so when delivery started to"," to see the movie, but was disappointed that I even saw it until Q&",0.9957194075686857,75
455,I was excited, to see this film but after seeing other reviews and coming to the conclusion that was," to see the movie, but was disappointed that I even saw it until Q&",0.0024432939244434,75
456,this film was a major letdown," for me at the top of my list. Don't be fooled, this was",. It held back the offerings from other films brought down on it in an attempt,9.481562301500053e-06,76
457,this film was a major letdown," for me at the top of my list. Don't be fooled, this was",".) While the other stars are fine, one major point in general about this bad",6.980495527400001e-06,76
458,this film was a major letdown, to all involved. The book kind of stood on its own.<br /><," for me at the top of my list. Don't be fooled, this was",2.0799343474000058e-06,76
459,this film was a major letdown,".) While the other stars are fine, one major point in general about this bad",. It held back the offerings from other films brought down on it in an attempt,2.501066774100052e-06,76
460,this film was a major letdown, to all involved. The book kind of stood on its own.<br /><,. It held back the offerings from other films brought down on it in an attempt,1.1561496648900059e-05,76
461,this film was a major letdown, to all involved. The book kind of stood on its own.<br /><,".) While the other stars are fine, one major point in general about this bad",9.060429874800007e-06,76
462,"Three part ""","Milk"" is also worth looking at. One day Haruki, an assistant","themed"" alarm about Harry Claus and the cameos of Christopher Walken and the",0.9840980945155026,77
463,"Three part ""","themed"" alarm about Harry Claus and the cameos of Christopher Walken and the","plot"" and one part ""film"" exploring a connection between the Vietnam War and",0.008152365218848,77
464,"Three part ""","soul mate"" is one that is fully realized by performances by Leone and Brown","themed"" alarm about Harry Claus and the cameos of Christopher Walken and the",0.9892383990809321,77
465,"Three part ""","Milk"" is also worth looking at. One day Haruki, an assistant","plot"" and one part ""film"" exploring a connection between the Vietnam War and",0.9922504597343506,77
466,"Three part ""","soul mate"" is one that is fully realized by performances by Leone and Brown","Milk"" is also worth looking at. One day Haruki, an assistant",0.0051403045654295765,77
467,"Three part ""","soul mate"" is one that is fully realized by performances by Leone and Brown","plot"" and one part ""film"" exploring a connection between the Vietnam War and",0.9973907642997801,77
468,A very cheesy and dull road movie, about a group of teenagers trying to become fathers.<br /><br />I,. What do you get before a giant mosquito races a train since those people go,3.5206903703999736e-06,78
469,A very cheesy and dull road movie," with just too much going on.<br /><br />Oh dear, AV",. What do you get before a giant mosquito races a train since those people go,2.6682391763000173e-06,78
470,A very cheesy and dull road movie,".(Not to say much of the events are good, but that makes things worse",. What do you get before a giant mosquito races a train since those people go,1.7101992852999954e-06,78
471,A very cheesy and dull road movie, about a group of teenagers trying to become fathers.<br /><br />I," with just too much going on.<br /><br />Oh dear, AV",8.524511940999563e-07,78
472,A very cheesy and dull road movie, about a group of teenagers trying to become fathers.<br /><br />I,".(Not to say much of the events are good, but that makes things worse",1.8104910850999783e-06,78
473,A very cheesy and dull road movie," with just too much going on.<br /><br />Oh dear, AV",".(Not to say much of the events are good, but that makes things worse",9.58039891000022e-07,78
474,There are some nice shots in, here which was a simple Faulkner film. I've been hooked since I," it with the actors Olivier and Hannah Hurd, but it does seem to be",0.9970368711510674,79
475,There are some nice shots in, here which was a simple Faulkner film. I've been hooked since I," this movie, and Dananye is one of the better instances to watch in """,0.0009398460388183594,79
476,There are some nice shots in, here which was a simple Faulkner film. I've been hooked since I," here, good eye candy. But when they try to murder lots of participants,",0.9983037075144239,79
477,There are some nice shots in," this movie, and Dananye is one of the better instances to watch in """," it with the actors Olivier and Hannah Hurd, but it does seem to be",0.9960970251122491,79
478,There are some nice shots in," it with the actors Olivier and Hannah Hurd, but it does seem to be"," here, good eye candy. But when they try to murder lots of participants,",0.0012668363633565002,79
479,There are some nice shots in," this movie, and Dananye is one of the better instances to watch in """," here, good eye candy. But when they try to murder lots of participants,",0.9973638614756055,79
480,When a man who, resembles Michael Mallory attempts to regale us with immortal ramblings about murder, plays the part of a London ex-cop keeps demanding his retirement exactly the opposite,0.0003458390710875999,80
481,When a man who, can act is murdered by a lieutenant or lieutenant's daughter--confoundress is, plays the part of a London ex-cop keeps demanding his retirement exactly the opposite,0.0129038573941216,80
482,When a man who, is beautiful loves a woman who is very stupid sees her beauty and goes the same, plays the part of a London ex-cop keeps demanding his retirement exactly the opposite,0.0080700129037723,80
483,When a man who, can act is murdered by a lieutenant or lieutenant's daughter--confoundress is, resembles Michael Mallory attempts to regale us with immortal ramblings about murder,0.012558018323034,80
484,When a man who, is beautiful loves a woman who is very stupid sees her beauty and goes the same, resembles Michael Mallory attempts to regale us with immortal ramblings about murder,0.0077241738326847,80
485,When a man who, can act is murdered by a lieutenant or lieutenant's daughter--confoundress is, is beautiful loves a woman who is very stupid sees her beauty and goes the same,0.0048338444903493,80
486,I have," had the opportunity to see ""The Wolverine"" on a very screen by this date", no reason to believe they can be trusted even with their talents spot a 2nd,0.992019199882634,81
487,I have, no idea the full extent of the virus outbreak that Dooley was subjected to., no reason to believe they can be trusted even with their talents spot a 2nd,0.00019529927521949998,81
488,I have, waited for a movie to finally have me get triggered. As horny as I am, no reason to believe they can be trusted even with their talents spot a 2nd,0.9972796078072862,81
489,I have," had the opportunity to see ""The Wolverine"" on a very screen by this date", no idea the full extent of the virus outbreak that Dooley was subjected to.,0.9918239006074144,81
490,I have, waited for a movie to finally have me get triggered. As horny as I am," had the opportunity to see ""The Wolverine"" on a very screen by this date",0.005260407924652211,81
491,I have, waited for a movie to finally have me get triggered. As horny as I am, no idea the full extent of the virus outbreak that Dooley was subjected to.,0.9970843085320666,81
492,As the number," of murders jumped from three in 1930 to 200 in total, yet for a So"," of films has declined, and with filming efforts out of town fanatical through the",0.9836747767403721,82
493,As the number," of films has declined, and with filming efforts out of town fanatical through the"," 5 has proved Mr's bombs & pills to be a kind of bizarre spell,",0.0107287117280066,82
494,As the number," of stars on this mug is telling, Clara Andrés stands as a powerful"," of films has declined, and with filming efforts out of town fanatical through the",0.9866570355370641,82
495,As the number," of murders jumped from three in 1930 to 200 in total, yet for a So"," 5 has proved Mr's bombs & pills to be a kind of bizarre spell,",0.9944034884683787,82
496,As the number," of stars on this mug is telling, Clara Andrés stands as a powerful"," of murders jumped from three in 1930 to 200 in total, yet for a So",0.0029822587966920056,82
497,As the number," of stars on this mug is telling, Clara Andrés stands as a powerful"," 5 has proved Mr's bombs & pills to be a kind of bizarre spell,",0.9973857472650707,82
498,Not sure if I'm," watching an avant-garde film such as this or not, but I"," a fan of Red Dead Redemption's historically accurate portrayal of gun proud Rifts,",0.9801184237003326,83
499,Not sure if I'm," watching an avant-garde film such as this or not, but I", the only fan or just an experienced fan of confusing nonsense! This movie is not,0.9814390218816699,83
500,Not sure if I'm, supposed to be a fan but this movie ranks as the #1 most-w," watching an avant-garde film such as this or not, but I",0.013961195945739746,83
501,Not sure if I'm," a fan of Red Dead Redemption's historically accurate portrayal of gun proud Rifts,", the only fan or just an experienced fan of confusing nonsense! This movie is not,0.0013205981813372,83
502,Not sure if I'm, supposed to be a fan but this movie ranks as the #1 most-w," a fan of Red Dead Redemption's historically accurate portrayal of gun proud Rifts,",0.9940796196460724,83
503,Not sure if I'm, supposed to be a fan but this movie ranks as the #1 most-w, the only fan or just an experienced fan of confusing nonsense! This movie is not,0.9954002178274096,83
504,This video nasty,"), to begrudgingly comes under the hammer and if you watched it,", dog keeps getting on my nerves! Why the hell does it have a strong English,0.0008934192010201,84
505,This video nasty,"), to begrudgingly comes under the hammer and if you watched it,", don't waste your time on looking it up.<|endoftext|>,0.0009261082159355,84
506,This video nasty, monsters (The Tooth Fairy) with their 'packed animal fangs' damage pure,"), to begrudgingly comes under the hammer and if you watched it,",0.0024187843082473,84
507,This video nasty, dog keeps getting on my nerves! Why the hell does it have a strong English, don't waste your time on looking it up.<|endoftext|>,3.2689014915399995e-05,84
508,This video nasty, monsters (The Tooth Fairy) with their 'packed animal fangs' damage pure, dog keeps getting on my nerves! Why the hell does it have a strong English,0.0033122035092673996,84
509,This video nasty, monsters (The Tooth Fairy) with their 'packed animal fangs' damage pure, don't waste your time on looking it up.<|endoftext|>,0.0033448925241828,84
510,Of the," kids, they think. Doesn't matter if something heinous breaks out, they go", dog-spolato makers are that you don't spend the whole movie describing,0.0106269390089438,85
511,Of the," movie, you really can't deny that any true film memoir has to be ast"," kids, they think. Doesn't matter if something heinous breaks out, they go",0.9741709129884839,85
512,Of the," positives of the film, I saw some truly charming acting, with all the opera"," kids, they think. Doesn't matter if something heinous breaks out, they go",0.9862976567819715,85
513,Of the," movie, you really can't deny that any true film memoir has to be ast", dog-spolato makers are that you don't spend the whole movie describing,0.9847978519974278,85
514,Of the," positives of the film, I saw some truly charming acting, with all the opera", dog-spolato makers are that you don't spend the whole movie describing,0.9969245957909153,85
515,Of the," positives of the film, I saw some truly charming acting, with all the opera"," movie, you really can't deny that any true film memoir has to be ast",0.012126743793487549,85
516,How can you tell that a horror, movie doesn't release an 8? Even with that low budget it's going to, comedy could be so tense? I give this movie 2 stars just to show the,0.0006217702175491,86
517,How can you tell that a horror, movie would be even remotely scary if it wasn't emphasized so well? The extra, comedy could be so tense? I give this movie 2 stars just to show the,0.9966547041549346,86
518,How can you tell that a horror," film works by comparing it to the game? Or in this case, by comparing", comedy could be so tense? I give this movie 2 stars just to show the,0.8937994986190461,86
519,How can you tell that a horror, movie would be even remotely scary if it wasn't emphasized so well? The extra, movie doesn't release an 8? Even with that low budget it's going to,0.9960329339373856,86
520,How can you tell that a horror," film works by comparing it to the game? Or in this case, by comparing", movie doesn't release an 8? Even with that low budget it's going to,0.893177728401497,86
521,How can you tell that a horror, movie would be even remotely scary if it wasn't emphasized so well? The extra," film works by comparing it to the game? Or in this case, by comparing",0.10285520553588856,86
522,A model," at center, who can't help being an oft recited character in films,", of a flat Topro assault henchman model adapted for television.<br /,0.007077813148498646,87
523,A model," who's never lived so far as hometown, who wont be embarrassed for giving up"," at center, who can't help being an oft recited character in films,",0.0008965730667112037,87
524,A model," at center, who can't help being an oft recited character in films,", based around Nanzel which from the looks of the mish-mash of things,0.9959831666201354,87
525,A model," who's never lived so far as hometown, who wont be embarrassed for giving up", of a flat Topro assault henchman model adapted for television.<br /,0.00797438621520985,87
526,A model, of a flat Topro assault henchman model adapted for television.<br /, based around Nanzel which from the looks of the mish-mash of things,0.9889053534716368,87
527,A model," who's never lived so far as hometown, who wont be embarrassed for giving up", based around Nanzel which from the looks of the mish-mash of things,0.9968797396868466,87
528,An actress making a," film with her gorgeous country bump will do just fine with his brow. However,", potboiler for nooses 2 hours thick is the only thing to give her,0.9944713495788163,88
529,An actress making a," film with her gorgeous country bump will do just fine with his brow. However,"," plaster show of This is a horrible movie, and only has one guaranteed going on",0.9945370677160099,88
530,An actress making a," film with her gorgeous country bump will do just fine with his brow. However,", bad movie she is owed something. <br /><br />Overall it's,0.9944986182381399,88
531,An actress making a, potboiler for nooses 2 hours thick is the only thing to give her," plaster show of This is a horrible movie, and only has one guaranteed going on",6.571813719350003e-05,88
532,An actress making a, potboiler for nooses 2 hours thick is the only thing to give her, bad movie she is owed something. <br /><br />Overall it's,2.7268659323499982e-05,88
533,An actress making a, bad movie she is owed something. <br /><br />Overall it's," plaster show of This is a horrible movie, and only has one guaranteed going on",3.844947787000005e-05,88
534,or anyone who," is highly intelligent enough to be able to comprehend this plot, appreciate that this series"," can read Chinese!).Despite being a dunderhead wormhole, both Ron Perl",0.011590659618377686,89
535,or anyone who," is highly intelligent enough to be able to comprehend this plot, appreciate that this series"," lives in areas like this, they get angry about ALL of this, leave the",0.9972503435565161,89
536,or anyone who," is highly intelligent enough to be able to comprehend this plot, appreciate that this series", posted anything else in the thread. I proved them wrong when I clicked on the,0.9935875786468389,89
537,or anyone who," can read Chinese!).Despite being a dunderhead wormhole, both Ron Perl"," lives in areas like this, they get angry about ALL of this, leave the",0.9856596839381384,89
538,or anyone who," can read Chinese!).Despite being a dunderhead wormhole, both Ron Perl", posted anything else in the thread. I proved them wrong when I clicked on the,0.9819969190284612,89
539,or anyone who, posted anything else in the thread. I proved them wrong when I clicked on the," lives in areas like this, they get angry about ALL of this, leave the",0.0036627649096771997,89
540,Devil Hunter gained," both the right to crusade against the terrorists, and the right to vindicate himself"," a scientific advantage in a secret Vatican archive (so-called ""deep-space",0.0035246610641479492,90
541,Devil Hunter gained," an insight into his genius as it was being followed, so viewers will have difficulties"," a scientific advantage in a secret Vatican archive (so-called ""deep-space",0.0037297606468199573,90
542,Devil Hunter gained," a scientific advantage in a secret Vatican archive (so-called ""deep-space", notoriety for his cannibalism of general John Cheney who had finally been brought to justice,0.008396267890930398,90
543,Devil Hunter gained," an insight into his genius as it was being followed, so viewers will have difficulties"," both the right to crusade against the terrorists, and the right to vindicate himself",0.00020509958267200812,90
544,Devil Hunter gained," both the right to crusade against the terrorists, and the right to vindicate himself", notoriety for his cannibalism of general John Cheney who had finally been brought to justice,0.011920928955078347,90
545,Devil Hunter gained," an insight into his genius as it was being followed, so viewers will have difficulties", notoriety for his cannibalism of general John Cheney who had finally been brought to justice,0.012126028537750355,90
546,This film seemed way too long even," to register on IMDb, while Mony Shale went so far over the", for a TV channel. Whereas it wouldn't have flown in the realm of SW,2.730754204100048e-06,91
547,This film seemed way too long even," for my taste, and still is, it just couldn't do any justice to"," to register on IMDb, while Mony Shale went so far over the",2.1303596440699966e-05,91
548,This film seemed way too long even, my teeny snot is missing since I am 17 years of age.Also," to register on IMDb, while Mony Shale went so far over the",4.609901225189998e-05,91
549,This film seemed way too long even," for my taste, and still is, it just couldn't do any justice to", for a TV channel. Whereas it wouldn't have flown in the realm of SW,2.4034350644800014e-05,91
550,This film seemed way too long even, my teeny snot is missing since I am 17 years of age.Also, for a TV channel. Whereas it wouldn't have flown in the realm of SW,4.882976645600003e-05,91
551,This film seemed way too long even, my teeny snot is missing since I am 17 years of age.Also," for my taste, and still is, it just couldn't do any justice to",2.4795415811200015e-05,91
552,Sexo Cann,"ibal"" Dick Van Dyke works closely to his beloved Dark Lord that crime is",ibal' and before Columbine.<br /><br />There are words to,0.012085378170013428,92
553,Sexo Cann,"ibal sits back and relaxs on a chair, during which close-up and",ibal' and before Columbine.<br /><br />There are words to,0.010952532291412465,92
554,Sexo Cann,"ello, birth of Tarzan, Coffin, Jackal's Past God, sal",ibal' and before Columbine.<br /><br />There are words to,0.006716012954712025,92
555,Sexo Cann,"ibal"" Dick Van Dyke works closely to his beloved Dark Lord that crime is","ibal sits back and relaxs on a chair, during which close-up and",0.0011328458786009632,92
556,Sexo Cann,"ibal"" Dick Van Dyke works closely to his beloved Dark Lord that crime is","ello, birth of Tarzan, Coffin, Jackal's Past God, sal",0.005369365215301403,92
557,Sexo Cann,"ibal sits back and relaxs on a chair, during which close-up and","ello, birth of Tarzan, Coffin, Jackal's Past God, sal",0.0042365193367004395,92
558,Not only is it a," pointless attempt to integrate literature into seedy life, it is also a basic"," pointless film, but it is also an atrocity that neither Take Highly Enough nor",1.2736418283999839e-06,93
559,Not only is it a, slight Neil Simon rip-off of the successful Iceberg which is vilified (," pointless attempt to integrate literature into seedy life, it is also a basic",2.1025363821499982e-05,93
560,Not only is it a," very scary film that is scary, it also has some nice suspension of disbelief:"," pointless attempt to integrate literature into seedy life, it is also a basic",0.9983911630697548,93
561,Not only is it a, slight Neil Simon rip-off of the successful Iceberg which is vilified (," pointless film, but it is also an atrocity that neither Take Highly Enough nor",2.2299005649899966e-05,93
562,Not only is it a," very scary film that is scary, it also has some nice suspension of disbelief:"," pointless film, but it is also an atrocity that neither Take Highly Enough nor",0.9983924367115833,93
563,Not only is it a," very scary film that is scary, it also has some nice suspension of disbelief:", slight Neil Simon rip-off of the successful Iceberg which is vilified (,0.9983701377059334,93
564,This is the, most brutally honest and full representation of a woman's part I have seen in years, movie of mind when a large group of enthusiastic young women and men rush to the,0.0013588666915893555,94
565,This is the, most brutally honest and full representation of a woman's part I have seen in years, same technique used for director Ivanish and audio editor Mark May. Ricky Gerv,0.11618715524673462,94
566,This is the, most brutally honest and full representation of a woman's part I have seen in years, story of the entire cast as the people make up their own lives. Everything is,9.97781753540039e-05,94
567,This is the, movie of mind when a large group of enthusiastic young women and men rush to the, same technique used for director Ivanish and audio editor Mark May. Ricky Gerv,0.11482828855514526,94
568,This is the, story of the entire cast as the people make up their own lives. Everything is, movie of mind when a large group of enthusiastic young women and men rush to the,0.0012590885162353516,94
569,This is the, story of the entire cast as the people make up their own lives. Everything is, same technique used for director Ivanish and audio editor Mark May. Ricky Gerv,0.11608737707138062,94
570,"Sometime in 1998,", the Soviet Union occupied the Eastern European countries of Denmark and Sweden for about 9 days, heavy use of Dracula's casting got under way. He was already a lousy actor,0.0136851887800731,95
571,"Sometime in 1998,", Patti Parker disappeared. There's no telling; it is hinted that she has, heavy use of Dracula's casting got under way. He was already a lousy actor,0.0048080394626595,95
572,"Sometime in 1998,"," perhaps, Uncle Ty Cobb took this movie seriously.<br /><br />Some", heavy use of Dracula's casting got under way. He was already a lousy actor,0.9926033611991444,95
573,"Sometime in 1998,", the Soviet Union occupied the Eastern European countries of Denmark and Sweden for about 9 days, Patti Parker disappeared. There's no telling; it is hinted that she has,0.0088771493174136,95
574,"Sometime in 1998,"," perhaps, Uncle Ty Cobb took this movie seriously.<br /><br />Some", the Soviet Union occupied the Eastern European countries of Denmark and Sweden for about 9 days,0.9789181724190712,95
575,"Sometime in 1998,"," perhaps, Uncle Ty Cobb took this movie seriously.<br /><br />Some", Patti Parker disappeared. There's no telling; it is hinted that she has,0.9877953217364849,95
576,This is," actually better, when you consider the way MCL or the Extra-Terrestrial", ten minutes of really good music in one mediocre movie.<br /><br />,0.9861833886243403,96
577,This is, ten minutes of really good music in one mediocre movie.<br /><br />," so intractable, in my opinion.<br /><br />With pe",0.005481296801008301,96
578,This is," a fact that when quantity isn't the issue, and science stunts are slow,", ten minutes of really good music in one mediocre movie.<br /><br />,0.4632923440076411,96
579,This is," actually better, when you consider the way MCL or the Extra-Terrestrial"," so intractable, in my opinion.<br /><br />With pe",0.9916646854253486,96
580,This is," actually better, when you consider the way MCL or the Extra-Terrestrial"," a fact that when quantity isn't the issue, and science stunts are slow,",0.5228910446166992,96
581,This is," a fact that when quantity isn't the issue, and science stunts are slow,"," so intractable, in my opinion.<br /><br />With pe",0.46877364080864936,96
582,I did not like," it! Kinda lame!""<|endoftext|>"," this movie and I warned you about it."" On the positive side: Frank Cap",7.265480235200028e-06,97
583,I did not like," it! Kinda lame!""<|endoftext|>", Reality on FX in four seasons. I did not like Discovery - I thought they,3.1863455659999346e-06,97
584,I did not like," it! Kinda lame!""<|endoftext|>", the film based on the diary truth. The impression is that other victims and relatives,5.837122443999999e-06,97
585,I did not like, Reality on FX in four seasons. I did not like Discovery - I thought they," this movie and I warned you about it."" On the positive side: Frank Cap",4.079134669200094e-06,97
586,I did not like, the film based on the diary truth. The impression is that other victims and relatives," this movie and I warned you about it."" On the positive side: Frank Cap",1.428357791200029e-06,97
587,I did not like, Reality on FX in four seasons. I did not like Discovery - I thought they, the film based on the diary truth. The impression is that other victims and relatives,2.6507768780000647e-06,97
588,I cannot, settle any claim for making this movie. I told you sitting back that I liked, imagine anyone bothering to give comments on this piece of garbage. Their blame should race,1.3326061889000138e-06,98
589,I cannot," even begin to explain what a dramatic hyperon, for that matter, was.", imagine anyone bothering to give comments on this piece of garbage. Their blame should race,0.00011914962669829995,98
590,I cannot, imagine that there is a living organism that doesn't love 0 point has poin, imagine anyone bothering to give comments on this piece of garbage. Their blame should race,0.9955610774923117,98
591,I cannot," even begin to explain what a dramatic hyperon, for that matter, was.", settle any claim for making this movie. I told you sitting back that I liked,0.00011781702050939994,98
